,model,average_edge_probability,percentage_intra_edges,r,ari
0,DSBM,0.0045,0.225,1,0.9992502563078233
0,DSBM,0.0045,0.225,2,0.9612311237624592
0,DSBM,0.0045,0.225,3,0.7391002821977974
0,DSBM,0.0045,0.225,4,0.3779758308976808
0,DSBM,0.0045,0.225,5,0.0010990442420487987
0,DSBM,0.0045,0.225,6,0.0005175398208017264
0,DSBM,0.0045,0.225,7,0.00041871677782689455
0,DSBM,0.0045,0.225,8,0.00039481890274381076
0,DSBM,0.0045,0.225,9,0.0004712707051105693
0,DSBM,0.0045,0.225,10,0.00038002813566123477
0,DSBM_PA,0.0045,0.225,1,0.4070877461860749
0,DSBM_PA,0.0045,0.225,2,0.4070877461860749
0,DSBM_PA,0.0045,0.225,3,0.4070877461860749
0,DSBM_PA,0.0045,0.225,4,0.40744775308240655
0,DSBM_PA,0.0045,0.225,5,0.4070877461860749
0,DSBM_PA,0.0045,0.225,6,0.4070877461860749
0,DSBM_PA,0.0045,0.225,7,0.40744775308240655
0,DSBM_PA,0.0045,0.225,8,0.40744775308240655
0,DSBM_PA,0.0045,0.225,9,0.4070877461860749
0,DSBM_PA,0.0045,0.225,10,0.40744775308240655
0,DSBM,0.0045,0.45,1,0.9988754626234545
0,DSBM,0.0045,0.45,2,0.9996250031253909
0,DSBM,0.0045,0.45,3,1.0
0,DSBM,0.0045,0.45,4,1.0
0,DSBM,0.0045,0.45,5,1.0
0,DSBM,0.0045,0.45,6,1.0
0,DSBM,0.0045,0.45,7,1.0
0,DSBM,0.0045,0.45,8,1.0
0,DSBM,0.0045,0.45,9,1.0
0,DSBM,0.0045,0.45,10,1.0
0,DSBM_PA,0.0045,0.45,1,0.30000118552999677
0,DSBM_PA,0.0045,0.45,2,0.30032573457630146
0,DSBM_PA,0.0045,0.45,3,0.30000118552999677
0,DSBM_PA,0.0045,0.45,4,0.30000118552999677
0,DSBM_PA,0.0045,0.45,5,0.3002173587862077
0,DSBM_PA,0.0045,0.45,6,0.3002173587862077
0,DSBM_PA,0.0045,0.45,7,0.3002173587862077
0,DSBM_PA,0.0045,0.45,8,0.30000118552999677
0,DSBM_PA,0.0045,0.45,9,0.30000118552999677
0,DSBM_PA,0.0045,0.45,10,0.3001340965742559
0,DSBM,0.0045,0.675,1,1.0
0,DSBM,0.0045,0.675,2,1.0
0,DSBM,0.0045,0.675,3,1.0
0,DSBM,0.0045,0.675,4,1.0
0,DSBM,0.0045,0.675,5,1.0
0,DSBM,0.0045,0.675,6,1.0
0,DSBM,0.0045,0.675,7,1.0
0,DSBM,0.0045,0.675,8,1.0
0,DSBM,0.0045,0.675,9,1.0
0,DSBM,0.0045,0.675,10,1.0
0,DSBM_PA,0.0045,0.675,1,0.24604754743120513
0,DSBM_PA,0.0045,0.675,2,0.24604754743120513
0,DSBM_PA,0.0045,0.675,3,0.24604754743120513
0,DSBM_PA,0.0045,0.675,4,0.24604754743120513
0,DSBM_PA,0.0045,0.675,5,0.24604754743120513
0,DSBM_PA,0.0045,0.675,6,0.24604754743120513
0,DSBM_PA,0.0045,0.675,7,0.24604754743120513
0,DSBM_PA,0.0045,0.675,8,0.24604754743120513
0,DSBM_PA,0.0045,0.675,9,0.24604754743120513
0,DSBM_PA,0.0045,0.675,10,0.24602168543017713
0,DSBM,0.0045,0.9,1,1.0
0,DSBM,0.0045,0.9,2,1.0
0,DSBM,0.0045,0.9,3,1.0
0,DSBM,0.0045,0.9,4,1.0
0,DSBM,0.0045,0.9,5,1.0
0,DSBM,0.0045,0.9,6,1.0
0,DSBM,0.0045,0.9,7,1.0
0,DSBM,0.0045,0.9,8,1.0
0,DSBM,0.0045,0.9,9,1.0
0,DSBM,0.0045,0.9,10,1.0
0,DSBM_PA,0.0045,0.9,1,0.2498543502993589
0,DSBM_PA,0.0045,0.9,2,0.2498543502993589
0,DSBM_PA,0.0045,0.9,3,0.2498543502993589
0,DSBM_PA,0.0045,0.9,4,0.2498543502993589
0,DSBM_PA,0.0045,0.9,5,0.2498543502993589
0,DSBM_PA,0.0045,0.9,6,0.2498543502993589
0,DSBM_PA,0.0045,0.9,7,0.2498543502993589
0,DSBM_PA,0.0045,0.9,8,0.2498543502993589
0,DSBM_PA,0.0045,0.9,9,0.2498543502993589
0,DSBM_PA,0.0045,0.9,10,0.2498543502993589
